date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Dec 31, 2011",End of loan,Ukraine,6996,Goverla ,91450,150 Th. €,Oleg Mishchenko,11/12,Ukraine,12425,Metalurg Donetsk II 
"Jul 1, 2011",Loan,Ukraine,12425,Metalurg Donetsk II ,91450,150 Th. €,Oleg Mishchenko,11/12,Ukraine,6996,Goverla 
"Dec 31, 2008",End of loan,Ukraine,10468,Stal Alchevsk ,91450,250 Th. €,Oleg Mishchenko,08/09,Ukraine,12425,Metalurg Donetsk II 
"Jan 1, 2008",?,Ukraine,6249,Dynamo 2 Kyiv ,91450,-,Oleg Mishchenko,07/08,Ukraine,12425,Metalurg Donetsk II 
"Jan 1, 2008",Loan,Ukraine,12425,Metalurg Donetsk II ,91450,-,Oleg Mishchenko,07/08,Ukraine,10468,Stal Alchevsk 
"Jul 1, 2006",-,Ukraine,14281,Dynamo Kyiv U17 ,91450,-,Oleg Mishchenko,06/07,Ukraine,6249,Dynamo 2 Kyiv 
"Sep 1, 2014",400 Th. €,Croatia,144,HNK Rijeka ,98536,900 Th. €,Adis Jahovic,14/15,Russia,2696,KS Samara 
"Jul 1, 2014",Free transfer,Ukraine,2740,Vorskla ,98536,900 Th. €,Adis Jahovic,14/15,Croatia,144,HNK Rijeka 
"Aug 31, 2013",400 Th. €,Switzerland,850,FC Wil 1900 ,98536,500 Th. €,Adis Jahovic,13/14,Ukraine,2740,Vorskla 
"Jun 30, 2013",End of loan,Switzerland,260,FC Zürich ,98536,500 Th. €,Adis Jahovic,12/13,Switzerland,850,FC Wil 1900 
"Oct 1, 2012",Loan,Switzerland,850,FC Wil 1900 ,98536,500 Th. €,Adis Jahovic,12/13,Switzerland,260,FC Zürich 
"Jul 1, 2011",Free transfer,Bosnia-Herzegovina,282,FK Sarajevo ,98536,325 Th. €,Adis Jahovic,11/12,Switzerland,850,FC Wil 1900 
"Jul 1, 2009",?,Bosnia-Herzegovina,2573,Zeljeznicar ,98536,50 Th. €,Adis Jahovic,09/10,Bosnia-Herzegovina,282,FK Sarajevo 
"Jan 1, 2009",?,Bosnia-Herzegovina,628,Velez Mostar ,98536,-,Adis Jahovic,08/09,Bosnia-Herzegovina,2573,Zeljeznicar 
"Jul 1, 2007",?,Macedonia,8397,Makedonija ,98536,-,Adis Jahovic,07/08,Bosnia-Herzegovina,628,Velez Mostar 
"Feb 18, 2016",Free transfer,Moldova,2481,Sheriff ,99007,175 Th. €,Dumitru Stajila,15/16,Russia,2439,Kuban Krasnodar 
"Jul 31, 2015",End of loan,Albania,27116,FK Kukësi ,99007,200 Th. €,Dumitru Stajila,15/16,Moldova,2481,Sheriff 
"Jan 31, 2015",Loan,Moldova,2481,Sheriff ,99007,250 Th. €,Dumitru Stajila,14/15,Albania,27116,FK Kukësi 
"Sep 2, 2014",End of loan,Moldova,38921,Dinamo-Auto ,99007,250 Th. €,Dumitru Stajila,14/15,Moldova,2481,Sheriff 
"Aug 28, 2014",Loan,Moldova,2481,Sheriff ,99007,250 Th. €,Dumitru Stajila,14/15,Moldova,38921,Dinamo-Auto 
"Jul 1, 2009",-,Moldova,46673,Sheriff-2 ,99007,-,Dumitru Stajila,09/10,Moldova,2481,Sheriff 
"Jul 13, 2015",?,Denmark,865,FC Midtjylland ,102043,"1,25 Mill. €",Sly,15/16,Russia,28095,FK Ufa 
"Jul 1, 2010",-,Denmark,5720,IfS (FCM II) ,102043,-,Sly,10/11,Denmark,865,FC Midtjylland 
"Jul 1, 2009",-,Denmark,9054,Midtjylland U19 ,102043,-,Sly,09/10,Denmark,5720,IfS (FCM II) 
"Jul 29, 2015",Free transfer,Russia,2737,Saturn ,112541,50 Th. €,Andrey Lunev,15/16,Russia,28095,FK Ufa 
"Jan 12, 2015",-,Russia,515,Unattached ,112541,50 Th. €,Andrey Lunev,14/15,,2737,Saturn 
